Date,Adj Close,Volume,Day_Perc_Change,Name
10/22/2018,26153.15039,2222812200,2.315014009,HANG SENG
10/23/2018,25346.55078,1772912000,-3.084139379,HANG SENG
10/24/2018,25249.7793,1962753500,-0.381793503,HANG SENG
10/25/2018,24994.46094,2288634200,-1.011170656,HANG SENG
10/26/2018,24717.63086,1688395600,-1.107565711,HANG SENG
10/29/2018,24812.03906,2000985900,0.381946816,HANG SENG
10/30/2018,24585.5293,2100387500,-0.912902666,HANG SENG
10/31/2018,24979.68945,2363084500,1.603220135,HANG SENG
11/1/2018,25416,2176972600,1.746661214,HANG SENG
11/2/2018,26486.34961,3518978800,4.211322037,HANG SENG
11/5/2018,25934.39063,1626675400,-2.083937546,HANG SENG
11/6/2018,26120.96094,1562913100,0.719393471,HANG SENG
11/7/2018,26147.68945,1731287400,0.102325925,HANG SENG
11/8/2018,26227.7207,1654626400,0.306073889,HANG SENG
11/9/2018,25601.91992,1839798600,-2.386028081,HANG SENG
11/12/2018,25633.17969,1171178800,0.122099304,HANG SENG
11/13/2018,25792.86914,1689989400,0.622979494,HANG SENG
11/14/2018,25654.42969,1431673200,-0.536735375,HANG SENG
11/15/2018,26103.33984,1534457400,1.749834869,HANG SENG
11/16/2018,26183.5293,1330024100,0.307199973,HANG SENG
11/19/2018,26372,1320040400,0.719806337,HANG SENG
11/20/2018,25840.33984,1205800000,-2.016002412,HANG SENG
11/21/2018,25971.4707,1397423500,0.50746569,HANG SENG
11/22/2018,26019.41016,1010983600,0.184585053,HANG SENG
11/23/2018,25927.67969,877061500,-0.352546301,HANG SENG
11/26/2018,26376.17969,1611982200,1.729811558,HANG SENG
11/27/2018,26331.96094,1394358800,-0.16764653,HANG SENG
11/28/2018,26682.56055,1415273800,1.331460311,HANG SENG
11/29/2018,26451.0293,1469593600,-0.867725006,HANG SENG
11/30/2018,26506.75,2000815900,0.210656086,HANG SENG
12/3/2018,27182.03906,2549703200,2.547611695,HANG SENG
12/4/2018,27260.43945,1880483300,0.288427185,HANG SENG
12/5/2018,26819.67969,1330919400,-1.616847615,HANG SENG
